,Author,Title paper,Journal,Year,Keywords,Co-authors,labels
0,AU=AYDIN AYDIN,"[Widespread involvement of hepatic, renal and mesenteric arteries with multiple mycotic aneurysms in a child]",[TURKISH JOURNAL OF PEDIATRICS],[2007],"[mycotic aneurysm, visceral arteries, mesenteric arteries]","['Kul Sibel', 'Aydin Aydin', 'Dinc Hasan', 'Erduran Erol']",1.0
1,AU=AYDIN AYDIN,[Temporal Analysis of Finger-Tapping Test in Individuals over 65 Years of Age: Relation of Motor Function and Energy Consumption],[ACTA PHYSIOLOGICA],[2015],,"['Aydin Leyla', 'Aydin Aydin', 'Bulbul Baris', 'Ozkalkan Beliz', 'Ozaydin Cansu', 'Inaltekin Ezgi']",1.0
2,AU=AYDIN AYDIN,[UNDIFFERENTIATED CARCINOMA OF THE EPIDIDYMIS],[ACTA CLINICA CROATICA],[2011],"[Epididymis, Undiffrentiated carcinomas, Metastasis]","['Aydin Aydin', 'Aksoy Hamit Zafer', 'Reis Abdulkadir', 'Ozdemir Feyyaz']",1.0
3,AU=AYDIN AYDIN,[Undifferentiated Primary Carcinoma of the Epididymis Treated with Sequential Chemoradiotherapy: A Case Report],[UHOD-ULUSLARARASI HEMATOLOJI-ONKOLOJI DERGISI],[2009],"[Epididymis, Undifferentiated carcinoma, Adjuvant treatment, Chemotherapy, Radiotherapy]","['Zengin Ahmet Y.', 'Topkan Erkan', 'Aydin Aydin', 'Reis A. Kadir']",1.0
4,AU=GİLGİL ERDAL,[Internal iliac artery pseudoaneurysm - An unusual cause of sciatica and lumbosacral plexopathy],[AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION],[2008],"[lumbosacral plexopathy, sciatica, pseudoaneurysm, iliac artery]","['Melikoglu Meltem Alkan', 'Kocabas Hilal', 'Sezer Ilhan', 'Akdag Ali', 'Gilgil Erdal', 'Butun Bulent']",1.0
5,AU=GİLGİL ERDAL,[Bone metabolism and mineral density in patients with betathalassemia major],[SAUDI MEDICAL JOURNAL],[2007],,"['Dundar Umit', 'Kupesiz Alphan', 'Ozdem Sehahat', 'Gilgil Erdal', 'Tuncer Tiraje', 'Yesilipek Akif', 'Gultekin Meral']",1.0
6,AU=GİLGİL ERDAL,"[Reply to the report: epidemiology of rheumatoid arthritis in Turkey (by N. Akkoc, S. Akar)]",[CLINICAL RHEUMATOLOGY],[2006],,"['Gilgil Erdal', 'Kacar Cahit', 'Tuncer Tiraje']",1.0
7,AU=GİLGİL ERDAL,[Prevalence of Rheumatoid Arthritis and Spondyloarthritis in Turkey: A Nationwide Study],[ARCHIVES OF RHEUMATOLOGY],[2018],"[Epidemiology, prevalence, rheumatoid arthritis, spondyloarthritis]","['Tuncer Tiraje', 'Gilgil Erdal', 'Kacar Cahit', 'Kurtais Yesim', 'Kutlay Sehim', 'Butun Bulent', 'Yalcin Peyman', 'Akarirmak Ulku', 'Altan Lale', 'Ardic Fusun', 'Ardicoglu Ozge', 'Altay Zuhal', 'Canturk Ferhan', 'Cerrahoglu Lale', 'Cevik Remzi', 'Demir Huseyin', 'Durmaz Berrin', 'Dursun Nigar', 'Duruoz Tuncay', 'Erdogan Canan', 'Evcik Deniz', 'Gursoy Savas', 'Hizmetli Sami', 'Kaptanoglu Ece', 'Kayhan Onder', 'Kirnap Mehmet', 'Kokino Siranus', 'Kozanoglu Erkan', 'Kuran Banu', 'Nas Kemal', 'Oncel Sema', 'Sindel Dilsad', 'Orkun Sevim', 'Sarpel Tunay', 'Savas Serpil', 'Sendur Omer Faruk', 'Senel Kazim', 'Ugurlu Hatice', 'Uzunca Kaan', 'Tekeoglu Ibrahim', 'Guillemin Francis']",1.0
8,AU=GİLGİL ERDAL,[Medial collateral ligament bursitis in a patient with knee osteoarthritis],[JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION],[2018],"[Medial collateral ligament (MCL), bursitis, knee osteoarthritis, knee pain]","['Nur Hakan', 'Aytekin Ayca', 'Gilgil Erdal']",1.0
9,AU=HALAÇ METİN,[Diagnostic value of magnetic resonance imaging and scintigraphy in patients with metastatic breast cancer of the axial skeleton: a comparative study],[MEDICAL ONCOLOGY],[2008],"[Breast cancer, MRI, Bone scan, Bone metastasis]","['Yilmaz Mehmet Halit', 'Ozguroglu Mustafa', 'Mert Devrim', 'Turna Hande', 'Demir Goekhan', 'Adaletli Ibrahim', 'Ulus Sila', 'Halac Metin', 'Kanberoglu Kaya']",1.0
10,AU=HALAÇ METİN,[Situs inversus totalis shown in the 18F-FDG PET/CT scan],[HELLENIC JOURNAL OF NUCLEAR MEDICINE],[2007],,"['Halac Metin', 'Yilmaz Selda', 'Mut Sanem S.', 'Erguel Nurhan', 'Soenmezoglu Kerim']",1.0
11,AU=HALAÇ METİN,[Fluoro-18 fluorodeoxyglucose positron emission tomography/computerized tomography scans in a patient with penile cancer for appropriate therapeutic strategy],[HELLENIC JOURNAL OF NUCLEAR MEDICINE],[2007],"[F-18-FDG, PET imaging, penile carcinoma]","['Halac Metin', 'Zincirkeser Sabri', 'Soenmezoglu Kerim', 'Sager Sait', 'Durak Haydar', 'Uslu Ilhami']",1.0
12,AU=HALAÇ METİN,[FDG PET/CT findings in primary hyperparathyroidism mimicking multiple bone metastases],[EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING],[2008],,"['Demir Hakan', 'Halac Metin', 'Gorur Gozde D.', 'Sonmezoglu Kerim', 'Uslu Ilhami']",1.0
13,AU=HALAÇ METİN,[PET/CT findings in a multicentric form of Castleman's disease],[HELLENIC JOURNAL OF NUCLEAR MEDICINE],[2007],"[Castleman's disease, F-18-FDG PET/CT, differential diagnosis, treatment]","['Halac Metin', 'Ergull Nurhan', 'Sager Sait', 'Demir Adalet', 'Buyukpinarbasli Nur', 'Sonmezoglu Kerim']",1.0
14,AU=KIRIŞ ABDULKADİR,[Relationship between arterial stiffness and myocardial damage in patients with newly diagnosed essential hypertension],[AMERICAN JOURNAL OF HYPERTENSION],[2008],,"['Gedikli Omer', 'Ozturk Serkan', 'Yilmaz Hulya', 'Baykan Merih', 'Kiris Abdulkadir', 'Durmus Ismet', 'Baltaci Davut', 'Karahan Caner', 'Celik Sukru']",1.0
15,AU=KIRIŞ ABDULKADİR,[Assessment of left ventricular diastolic function and Tei index by tissue Doppler imaging in patients with Cushing's Syndrome],[ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES],[2008],"[Cushing's Syndrome, left ventricular function, tissue Doppler imaging]","['Baykan Merih', 'Erem Cihangir', 'Gedikli Oemer', 'Hacihasanoglu Arif', 'Erdogan Turan', 'Kocak Mustafa', 'Kaplan Sahin', 'Kiris Abdulkadir', 'Orem Cihan', 'Celik Suekrue']",1.0
16,AU=KIRIŞ ABDULKADİR,[Immediate procedural and long-term clinical outcomes after drug eluting stent implantation to ostial saphenous vein graft lesions],[AMERICAN JOURNAL OF CARDIOLOGY],[2007],,"['Kaplan Sahin', 'Barlis Peter', 'Kiris Abdulkadir', 'Dimopoulos Konstantinos', 'Celik Sukru', 'Di Mario Carlo']",1.0
17,AU=KIRIŞ ABDULKADİR,[Relationship between aortic stiffness and the development of coronary collateral in patients with coronary artery disease],[ANGIOLOGY],[2007],,"['Celik Suekru', 'Kaplan Sahin', 'Yilmaz Remzi', 'Erdogan Turan', 'Kiris Abdulkadir']",1.0
