,Author,Title paper,Journal,Year,Keywords
0,AU=AU,[ASYMMETRIC LOADING OF AN EXTERNALLY CRACKED ELASTIC SOLID BY AN INPLANE PENNY-SHAPED INCLUSION],[THEORETICAL AND APPLIED FRACTURE MECHANICS],[1990],
1,AU=AU,[HIGH-CAPACITY OIL-WATER SEPARATOR PERFORMANCE-MODEL],[ENVIRONMENTAL ENGINEERING : PROCEEDINGS OF THE 1990 SPECIALTY CONFERENCE],[1990],
2,AU=AU,[NUMERICAL MODELING OF BRIDGE FLAWS IN FIBER REINFORCED PLATES],"[LOCALIZED DAMAGE COMPUTER-AIDED ASSESSMENT AND CONTROL, VOL 2]",[1990],
3,AU=AU,[INHIBIN - A MARKER OF SERTOLI-CELL FUNCTION],[HUMAN REPRODUCTION /],[1988],
4,AU=AU,[THE MEASUREMENT OF BULK AND SURFACE RECOMBINATION BY MEANS OF MODULATED FREE CARRIER ABSORPTION],"[CONFERENCE RECORD OF THE TWENTIETH IEEE PHOTOVOLTAIC SPECIALISTS CONFERENCE - 1988, VOLS 1-2]",[1988],
5,AU=Eroglu Ilhan,[An evaluation of the effectiveness of an inflation targeting strategy in Turkey],[ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA],[2017],"[Inflation, inflation targeting, price stability, performance analysis]"
6,AU=Eroglu Ilhan,[Identifying relationship between macroeconomic and fiscal policy variables for EU countries and Turkey],[ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA],[2017],"[Financial crisis, interest rate, budget deficit, public debt, EU]"
7,AU=Koksal Deniz,[Correlation between survivin expression and prognosis in non-small cell lung cancer],[RESPIRATORY MEDICINE],[2006],"[non-small cell lung cancer, prognosis, survivin]"
8,AU=Koksal Deniz,[Primary tuberculous liver abscess: A case report and review of the literature],[SOUTHERN MEDICAL JOURNAL],[2006],"[tuberculosis, liver abscess, conservative therapy]"
9,AU=Koksal Deniz,[Impact of TNF-alpha and IL-6 levels on development of cachexia in newly diagnosed NSCLC patients],[AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS],[2006],"[cachexia, cytokines, IL-6, lung cancer, TNF-alpha]"
10,AU=Koksal Deniz,"[Diagnosis of malignant pleural mesothelioma from pleural fluid by Fourier transform-infrared spectroscopy coupled with chemometrics (vol 23, 105003, 2018)]",[JOURNAL OF BIOMEDICAL OPTICS],[2018],
11,AU=Koksal Deniz,[Diagnosis of malignant pleural mesothelioma from pleural fluid by Fourier transform-infrared spectroscopy coupled with chemometrics],[JOURNAL OF BIOMEDICAL OPTICS],[2018],"[pleural fluid, malignant pleural mesothelioma, lung cancer, Fourier transform-infrared spectroscopy, chemometrics, benign pleural effusion]"
12,AU=Yesil Nesibe Karahan,[The Prevalence of Geriatric Syndromes in Patients with Rheumatoid Arthritis and Relationship between Disease Activity],[CLINICAL AND EXPERIMENTAL RHEUMATOLOGY],[2014],"[Rheumatoid arthritis, geriatrics syndrome, elderly]"
13,AU=Yesil Nesibe Karahan,[Response to risk of hydroxychloroquine retinopathy is not related to systemic lupus erythematosus or rheumatoid arthritis],[DOCUMENTA OPHTHALMOLOGICA],[2018],
14,AU=Yesil Nesibe Karahan,[Retinal toxicity related to hydroxychloroquine in patients with systemic lupus erythematosus and rheumatoid arthritis],[DOCUMENTA OPHTHALMOLOGICA],[2017],"[Systemic lupus erythematosus, Rheumatoid arthritis, Hydroxychloroquine toxicity, Optical coherence tomography, Multifocal electroretinography, Fundus autofluorescence]"
15,AU=Yesil Nesibe Karahan,[Efficacy of golimumab on recurrent uveitis in HLA-B27-positive ankylosing spondylitis],[INTERNATIONAL OPHTHALMOLOGY],[2017],"[Anterior Uveitis, Golimumab, HLA-B27-positive ankylosing spondylitis]"
16,AU=Yesil Nesibe Karahan,[The Frequency of Ankylosing Spondylitis Among Patients With Familial Mediterranean Fever and the Relationship With M694V Mutation],[ARCHIVES OF RHEUMATOLOGY],[2016],
17,AU=Sarpel Tunay,[Effectiveness of therapeutic ultrasound in adhesive capsulitis],[JOINT BONE SPINE],[2008],"[adhesive capsulitis, ultrasound, sham ultrasound, SPADI, SF-36]"
18,AU=Sarpel Tunay,[CT-based morphometric data of L3-L5 vertebrae: Anatomic and surgical approach],[NEUROSURGERY QUARTERLY],[2007],"[lumbar vertebrae, computerized tomography, vertebral body, pedicle dimensions]"
19,AU=Sarpel Tunay,[A clinical review of 40 cases with tuberculous spondylitis in adults],[NEUROSURGERY QUARTERLY],[2006],"[tuberculous spondylitis, spinal tuberculosis, Poll disease]"
20,AU=Sarpel Tunay,[Reeducation of hemiplegic shoulder by using EMG biofeedback],[CUKUROVA MEDICAL JOURNAL],[2018],"[biofeedback, hemipleji, omuz, tonus, trapezius]"
21,AU=Sarpel Tunay,"[Demographic, Phenotypic and Genotypic Features of Alkaptonuria Patients: A Single Centre Experience]",[JOURNAL OF PEDIATRIC RESEARCH],[2018],"[Alkaptonuria, ochronosis, homogentisic acid, homogentisate 1,2 dioxygenate, arthritis]"
22,AU=Ak Emel,[Treatment of ankylosing spondylitis with TNF inhibitors does not have adverse effect on results of liver function tests: a longitudinal study],[INTERNATIONAL JOURNAL OF RHEUMATIC DISEASES],[2015],"[alanine transaminase, ankylosing spondylitis, aspartate transaminase, disease activity, TNF inhibitors]"
23,AU=Ak Emel,[The effect of anti-TNF agent on oxidation status in patients with ankylosing spondylitis],[CLINICAL RHEUMATOLOGY],[2010],"[Ankylosing spondylitis, Anti-TNF agent, Oxidation status]"
24,AU=Bariskin Elif,[Workplace Violence in the Health Sector in Turkey: A National Study],[JOURNAL OF INTERPERSONAL VIOLENCE],[2017],"[workplace violence, health care workers, Turkey]"
25,AU=Bariskin Elif,[Reliability and Validity Indicators of Berkeley Expressivity Questionnaire in the Context of Culture and Gender],[TURK PSIKIYATRI DERGISI],[2017],"[Expressed emotion, gender, culture, reliability and validity]"
26,AU=Bariskin Elif,"[Autonomous-related self, eating attitude and body satisfaction in young females]",[EATING AND WEIGHT DISORDERS-STUDIES ON ANOREXIA BULIMIA AND OBESITY],[2015],"[Autonomous-related self, Body satisfaction, Eating attitudes, Self-construct, Young adult females]"
27,AU=Bariskin Elif,[Early Maladaptive Schema Domains and Social Phobia Symptoms: Is There a Mediator Role of Emotion Regulation Difficulties?],[TURK PSIKOLOJI DERGISI],[2014],"[Early maladaptive schema domain, symptoms of social phobia, emotion regulation difficulties]"
28,AU=Yusufoglu Edagani,[Evaluation of Atrial Electromechanical Delay and Its Relationship to Inflammation and Oxidative Stress in Patients with Chronic Obstructive Pulmonary Disease],[ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES],[2014],"[atrial electromechanical delay, chronic obstructive pulmonary disease, inflammation, oxidative stress]"
29,AU=Yusufoglu Edagani,[Evaluation of Atrial Electromechanical Delay and its Relationship to Inflammation and Oxidative Stress in Patients with COPD],[JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY],[2013],
30,AU=Aslani Mahmoud Ali Asghar,[Assessment of reaction between thorium and polyelectrolyte nano-thin film using Box-Behnken design],[ADSORPTION SCIENCE & TECHNOLOGY],[2018],"[Adsorption, thorium, nano-thin film, Box-Behnken, response surface methodology]"
31,AU=Veenhof Rob,[Photon detection in a gas],[NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT],[2006],"[gaseous detector, transition radiation, charged particle detection, photon detection, electron transport, fluorescence, delta electron, photoionisation, ionisation, Penning transfer, Auger electron, photo-absorption and ionisation model, PAI model, Heed program, Magboltz program]"
32,AU=Veenhof Rob,[Protonated water clusters in TPC's],[NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT],[2016],"[Protonated water cluster, DFT Calculations, Thermodynamic Parameters, Gas Detectors]"
33,AU=Veenhof Rob,[Advances on Fission Chamber Modelling],"[2013 3RD INTERNATIONAL CONFERENCE ON ADVANCEMENTS IN NUCLEAR INSTRUMENTATION, MEASUREMENT METHODS AND THEIR APPLICATIONS (ANIMMA)]",[2013],"[Simulation, Instrumentation, Fission chambers]"
34,AU=Veenhof Rob,[High-precision gas gain and energy transfer measurements in Ar-CO2 mixtures],[NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT],[2014],"[Gas detectors, Penning transfer, Excited states, Photon feedback]"
35,AU=Veenhof Rob,[Secondary avalanches in gas mixtures],[NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT],[2013],"[Excited states, Gas gain, Photon feedback]"
36,AU=Ozyurek Eser S.,[Evaluation of laboratory parameters in the diagnosis of acute appendicitis],[TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI],[2018],"[Acute appendicitis, Fibrinogen level, Platelet count, Neutrophile/lymphocyte ratio, Mean platelet volume]"
37,AU=Ozyurek Eser S.,[Seropositivity for the human heat shock protein (Hsp)60 accompanying seropositivity for Chlamydia trachomatis is less prevalent among tubal ectopic pregnancy cases than individuals with normal reproductive history],[EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY],[2018],"[Chlamydia trachomatis, Ectopic pregnancy, Heat shock protein 60, Serology]"
38,AU=Ozyurek Eser S.,[Laparoscopic Blinded Endometrial Cavity Resection for Robert's Uterus],[JOURNAL OF MINIMALLY INVASIVE GYNECOLOGY],[2018],"[Laparoscopy, Mullerian anomaly, Robert's uterus]"
39,AU=Ozyurek Eser S.,[Predictors of failure of the commonly used single-dose methotrexate protocol for treating tubal ectopic pregnancies],[TAIWANESE JOURNAL OF OBSTETRICS & GYNECOLOGY],[2017],"[Ectopic pregnancy, Single-dose methotrexate treatment, Methotrexate, Early pregnancy, Predictors]"
40,AU=Ozyurek Eser S.,[Preoperatively Assessable Clinical and Pathological Risk Factors for Parametrial Involvement in Surgically Treated FIGO Stage IB-IIA Cervical Cancer],[INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER],[2017],"[Early-stage cervical cancer, Endophytic tumor, Parametrial involvement, Tumor size]"
41,AU=Okutucu Sercan,[Fingertip Reactive Hyperemia Peripheral Arterial Tonometry Score Predicts Response to Biventricular Pacing],[ACTA CARDIOLOGICA SINICA],[2018],"[Cardiac resynchronization therapy, Endothelial dysfunction, Heart failure, Peripheral arterial tonometry, Response]"
42,AU=Okutucu Sercan,"[Re: Cardiorespiratory fitness, exercise haemodynamics and birth outcomes: the Coronary Artery Risk Development in Young Adults (CARDIA) Study Cardiorespiratory exercise testing years preceding pregnancy and birth outcomes: comments on heart rate recovery]",[BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY],[2018],
43,AU=Okutucu Sercan,[Cardiac autonomic evaluation in breast cancer patients: role of cytokines and heart rate recovery],[CLINICAL RESEARCH IN CARDIOLOGY],[2018],
44,AU=Okutucu Sercan,[Assessment of pupillary autonomic functions by dynamic pupillometry in different circadian arterial blood pressure patterns],[BLOOD PRESSURE MONITORING],[2018],"[autonomic nervous system, blood pressure, circadian rhythm, dynamic pupillometry, hypertension]"
45,AU=Okutucu Sercan,[Electrical storm secondary to cardiac metastasis of non-small cell lung cancer],[ACTA CARDIOLOGICA],[2017],
46,AU=Cossins Judith,[Congenital myasthenic syndromes and the formation of the neuromuscular junction],[MYASTHENIA GRAVIS AND RELATED DISORDERS: 11TH INTERNATIONAL CONFERENCE],[2008],"[congenital myasthenic syndrome, rapsyn, Dok-7, neuromuscular junction, muscle-specific tyrosine kinase]"
47,AU=Cossins Judith,[Seronegative antibody-mediated neurology after immune checkpoint inhibitors],[ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY],[2018],
48,AU=Cossins Judith,"[Myasthenic syndromes due to defects in COL13A1 and in the N-linked glycosylation pathway (vol 1413, pg 163, 2018)]",[ANNALS OF THE NEW YORK ACADEMY OF SCIENCES],[2018],
49,AU=Cossins Judith,"[Serological and experimental studies in different forms of myasthenia gravis (vol 1413, pg 143, 2018)]",[ANNALS OF THE NEW YORK ACADEMY OF SCIENCES],[2018],
50,AU=Cossins Judith,[Serological and experimental studies in different forms of myasthenia gravis],[ANNALS OF THE NEW YORK ACADEMY OF SCIENCES],[2018],"[myasthenia gravis, muscle-specific kinase, clustered acetylcholine receptor, low-density lipoprotein receptor-related protein 4, active and passive immunization]"
51,AU=Chen Wei,"[Influence of Birth Weight on White Blood Cell Count in Biracial (Black-White) Children, Adolescents, and Young Adults]",[AMERICAN JOURNAL OF EPIDEMIOLOGY],[2009],
52,AU=Chen Wei,[Variants in MTNR1B influence fasting glucose levels],[NATURE GENETICS],[2009],
53,AU=Chen Wei,[Identification of a Regulatory Single Nucleotide Polymorphism in the Adiponectin (APM1) Gene Associated with Type 2 Diabetes in Han Nationality],[BIOMEDICAL AND ENVIRONMENTAL SCIENCES],[2008],"[Diabetes, Adiponectin, Single nucleotide polymorphism, Reporter gene, Promoter]"
54,AU=Chen Wei,"[Holocene vegetation history with implications of human impact in the Lake Chaohu area, Anhui Province, East China]",[VEGETATION HISTORY AND ARCHAEOBOTANY],[2009],"[Palynology, Holocene, Palaeovegetation, Human impact, Lake Chaohu, East China]"
55,AU=Chen Wei,[Production of new class-specific polyclonal antibody for determination of fluoroquinolones antibiotics by indirect competitive ELISA],[FOOD AND AGRICULTURAL IMMUNOLOGY],[2008],"[antibiotic, fluoroquinolones, ic-ELISA, detection, multi-residues]"
56,AU=Dokucu Ali Ihsan,[The role of cell adhesion molecules in ischemic epididymal injury],[INTERNATIONAL UROLOGY AND NEPHROLOGY],[2008],"[testicular and spermatic cord torsion, adhesion molecules, rat]"
57,AU=Dokucu Ali Ihsan,[The role of cell adhesion molecules in ischemic epididymal injury],[INTERNATIONAL UROLOGY AND NEPHROLOGY],[2007],"[testicular and spermatic cord torsion, adhesion molecules, rat]"
58,AU=Dokucu Ali Ihsan,"[Effects of lexipafant (BB-882), a platelet activating factor receptor antagonist, on liver damage due to bile duct ligation in rats]",[ACTA GASTRO-ENTEROLOGICA BELGICA],[2006],"[bile duct ligation, BB-882, lexipafant, rat]"
59,AU=Dokucu Ali Ihsan,[Can serum soluble urokinase plasminogen activator receptor be an effective marker in the diagnosis of appendicitis and differentiation of complicated cases?],[ULUSAL TRAVMA VE ACIL CERRAHI DERGISI-TURKISH JOURNAL OF TRAUMA & EMERGENCY SURGERY],[2018],"[Complicated appendicitis, soluble urokinase plasminogen activator receptor, uncomplicated appendicitis]"
60,AU=Dokucu Ali Ihsan,[A new chromosomal arrangement due to paternal balanced translocation for syndromic oesophageal atresia: case report],[JOURNAL OF OBSTETRICS AND GYNAECOLOGY],[2018],
61,AU=Yalcin Ahmet Arif,[An uncommon percutaneous treatment of aortic pseudoaneurysm],[ANATOLIAN JOURNAL OF CARDIOLOGY],[2018],
62,AU=Yalcin Ahmet Arif,[Usefulness of the platelet-to-lymphocyte ratio in predicting long-term cardiovascular mortality in patients with peripheral arterial occlusive disease],[POSTEPY W KARDIOLOGII INTERWENCYJNEJ],[2017],"[platelet-to-lymphocyte ratio, peripheral arterial occlusive disease, cardiovascular mortality]"
63,AU=Yalcin Ahmet Arif,[Isolated cleft of both the anterior and posterior mitral valve leaflets],[ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES],[2016],"[3DTEE, mitral cleft]"
64,AU=Yalcin Ahmet Arif,[Relationship between serum visfatin levels and coronary slow-flow phenomenon],[HERZ],[2015],"[Coronary slow flow, Visfatin, Thrombolysis in myocardial Infarction frame count, Coronary artery disease, Biomarker]"
65,AU=Yalcin Ahmet Arif,[High Sensitive CRP Level Is Associated With Intermediate and High Syntax Score in Patients With Acute Coronary Syndrome],[INTERNATIONAL HEART JOURNAL],[2015],"[Inflammation, Severity of atherosclerosis, Coronary artery disease]"
66,AU=Azizoglu Sevil S.,[Microwave-assisted synthesis of novel amide based chiral tripodal receptors for recognition of cation and anion sensors],[ARKIVOC],[2016],"[Tripodal receptor, cation sensor, anion sensor, microwave and NMR titration]"
67,AU=Azizoglu Sevil S.,[Synthesis of new thiol-derivatized aminophosphines and their catalytic activities in C-C coupling reactions],[TURKISH JOURNAL OF CHEMISTRY],[2015],"[Aminophosphine, synthesis, catalysis, palladium, Suzuki Heck]"
